Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type;;;
A collaboration literacy analytics framework (CLAF): Investigating students’ perspectives on collaboration quality indicators and feedback utilization,International Journal of Computer-Supported Collaborative Learning,,,,10.1007/s11412-026-09475-w,Tochukwu Dominic EzeLucas ZurbuchenKhalil AndersonMarcelo Worsley,2026,https://link.springer.com/article/10.1007/s11412-026-09475-w,Article;;;
A quarter century of advances in collaboration sensing: a comprehensive review of high-frequency metrics and their connection to collaborative constructs from 2000 to 2025,International Journal of Computer-Supported Collaborative Learning,,,,10.1007/s11412-025-09458-3,Bertrand SchneiderXiao FangShinyi KangPankaj ChejaraJiajun Bu,2025,https://link.springer.com/article/10.1007/s11412-025-09458-3,Article;;;
Measuring Collaboration Quality Through Audio Data and Learning Analytics,Unobtrusive Observations of Learning in Digital Environments,,,,10.1007/978-3-031-30992-2_6,Sambit PraharajMaren ScheffelMarcus SpechtHendrik Drachsler,2023,https://link.springer.com/chapter/10.1007/978-3-031-30992-2_6,Chapter;;;
The role of individual preparation on coordination in computer-supported collaborative learning: a neuroscience perspective on learners’ inter-brain synchrony,Smart Learning Environments,,,,10.1186/s40561-025-00424-y,Wenli ChenQianru LyuMavis M. Y HoJessica S.H TanWeipeng Teo,2026,https://link.springer.com/article/10.1186/s40561-025-00424-y,Article;;;
An Investigation into the Application of Learning Analytics in Collaborative Learning,Technology in Education. Digital and Intelligent Education,,,,10.1007/978-981-96-0205-6_16,Billy T. M. WongKam Cheong LiMengjin Liu,2024,https://link.springer.com/chapter/10.1007/978-981-96-0205-6_16,Conference paper;;;
A pilot study protocol of a relational coordination training intervention among healthcare professionals in an Army medical center,Pilot and Feasibility Studies,,,,10.1186/s40814-025-01596-7,Sherita HouseSusan M. PerkinsMelissa MillerTanekkia Taylor-ClarkRobin Newhouse,2025,https://link.springer.com/article/10.1186/s40814-025-01596-7,Article;;;
Multimodal learning analytics of collaborative patterns during pair programming in higher education,International Journal of Educational Technology in Higher Education,,,,10.1186/s41239-022-00377-z,Weiqi XuYajuan WuFan Ouyang,2023,https://link.springer.com/article/10.1186/s41239-022-00377-z,Article;;;
Electrophysiological Measures for Human–Robot Collaboration Quality Assessment,Discovering the Frontiers of Human-Robot Interaction,,,,10.1007/978-3-031-66656-8_15,Mathias RihetGuillaume SarthouAurélie ClodicRaphaëlle N. Roy,2024,https://link.springer.com/chapter/10.1007/978-3-031-66656-8_15,Chapter;;;
Exploring Indicators for&#xa0;Collaboration Quality and&#xa0;Its Dimensions in&#xa0;Classroom Settings Using Multimodal Learning Analytics,Responsive and Sustainable Educational Futures,,,,10.1007/978-3-031-42682-7_5,Pankaj ChejaraLuis P. PrietoMaría Jesús Rodríguez-TrianaAdolfo Ruiz-CallejaReet KasepaluIrene-Angelica ChountaBertrand Schneider,2023,https://link.springer.com/chapter/10.1007/978-3-031-42682-7_5,Conference paper
Implementing learning analytics in wiki-supported collaborative learning in secondary education: A framework-motivated empirical study,International Journal of Computer-Supported Collaborative Learning,,,,10.1007/s11412-022-09377-7,Xiao HuJeremy T. D. NgSamuel K. W. Chu,2022,https://link.springer.com/article/10.1007/s11412-022-09377-7,Article;;;
Exploring Collaboration Readiness with Multimodal Learning Analytics: The Value of Generative Preparation Activities,Technology Enhanced Learning for Inclusive and Equitable Quality Education,,,,10.1007/978-3-031-72312-4_3,Qi ZhouWannapon SuraworachetMutlu Cukurova,2024,https://link.springer.com/chapter/10.1007/978-3-031-72312-4_3,Conference paper;;;
Coupling coordination development between eco-investment, tourism, and logistics in Anhui Province, China,Humanities and Social Sciences Communications,,,,10.1057/s41599-023-02537-6,Yan WangRanran Zhao,2024,https://link.springer.com/article/10.1057/s41599-023-02537-6,Article;;;
Fostering Novice Collaboration in&#xa0;ML-Based System Design Through Visual Languages and&#xa0;Touch Interfaces,End-User Development,,,,10.1007/978-3-031-95452-8_7,Serena VersinoTommaso TurchiAlessio MaliziaGiuseppe Riva,2025,https://link.springer.com/chapter/10.1007/978-3-031-95452-8_7,Conference paper;
Circumscribing and Appraising Collaboration in Design,Collaborations in Creativity,,,,10.1007/978-3-032-07753-0_2,Michael J. BakerJean-Marie BurkhardtFrançoise DétienneStéphane Safin,2026,https://link.springer.com/chapter/10.1007/978-3-032-07753-0_2,Chapter;;;
Using Learning Analytics Techniques to Calculate Learner’s Interaction Indicators from Their Activity Traces Data,Emerging Trends in Intelligent Systems & Network Security,,,,10.1007/978-3-031-15191-0_48,Lamyaa ChihabAbderrahim El MhoutiMohammed Massar,2023,https://link.springer.com/chapter/10.1007/978-3-031-15191-0_48,Conference paper;;;
An artificial intelligence-driven learning analytics method to examine the collaborative problem-solving process from the complex adaptive systems perspective,International Journal of Computer-Supported Collaborative Learning,,,,10.1007/s11412-023-09387-z,Fan OuyangWeiqi XuMutlu Cukurova,2023,https://link.springer.com/article/10.1007/s11412-023-09387-z,Article;;;
The impact of group awareness on CSCL regulated learning process: Insights from an ordered network analysis (ONA),Education and Information Technologies,,,,10.1007/s10639-026-13953-x,Qian GuoWei ZhaoQiang JiangXiaoqing Xu,2026,https://link.springer.com/article/10.1007/s10639-026-13953-x,Article;;;
Impact of communication modalities on social presence and regulation processes in a collaborative game,Journal on Multimodal User Interfaces,,,,10.1007/s12193-024-00450-z,Anthony BasilleÉlise LavouéAudrey Serna,2025,https://link.springer.com/article/10.1007/s12193-024-00450-z,Article;;;
Studying teacher withitness in the wild: comparing a mirroring and an alerting &amp; guiding dashboard for collaborative learning,International Journal of Computer-Supported Collaborative Learning,,,,10.1007/s11412-023-09414-z,Reet KasepaluPankaj ChejaraLuis P. PrietoTobias Ley,2023,https://link.springer.com/article/10.1007/s11412-023-09414-z,Article;;
Shaping Innovation and Entrepreneurship Ecosystems: An Outcome-Based Model,Next Generation Entrepreneurship,,,,10.1007/978-3-031-98513-3_5,Odille Sanchez-DominguezLuis Miguel Almanza-Rueda,2026,https://link.springer.com/chapter/10.1007/978-3-031-98513-3_5,Chapter;;;
Promoting collaborative reflection to foster interprofessional collaboration skills: Putting laboratory findings to the test in the field,International Journal of Educational Technology in Higher Education,,,,10.1186/s41239-025-00553-x,Sebastian StraußIsis TunnigkeitJulia EberleArlind AvdullahuMarlena BlockMarkus KönigNikol Rummel,2025,https://link.springer.com/article/10.1186/s41239-025-00553-x,Article;;;
Engagement assessment in project-based education: a machine learning approach in team chat analysis,Education and Information Technologies,,,,10.1007/s10639-023-12381-5,Sabah FarshadEvgenii ZorinNurlybek AmangeldiulyClement Fortin,2023,https://link.springer.com/article/10.1007/s10639-023-12381-5,Article;;;
Cross-professional collaboration between music therapists and special education teachers in autism interventions: a grounded theory qualitative meta-analysis,BMC Psychology,,,,10.1186/s40359-026-04124-1,Liegang ChenJingyu Cheng,2026,https://link.springer.com/article/10.1186/s40359-026-04124-1,Article;;;
Bridging the Gap Between Informal Learning Pedagogy and Multimodal Learning Analytics,The Multimodal Learning Analytics Handbook,,,,10.1007/978-3-031-08076-0_7,Rawad HammadMohammed BahjaMohammad Amin Kuhail,2022,https://link.springer.com/chapter/10.1007/978-3-031-08076-0_7,Chapter;;;
Understanding collaborative programming dynamics: The role of prior knowledge, engagement and ICAP learning modes,International Journal of Computer-Supported Collaborative Learning,,,,10.1007/s11412-025-09457-4,Jihong DingZhihao FanHuazhong LiuJames SlottaFeng JiKefeng Hu,2025,https://link.springer.com/article/10.1007/s11412-025-09457-4,Article;;;
Bridging the digital divide: how technological symmetry and collaboration fortify supply chain resilience,Operations Management Research,,,,10.1007/s12063-025-00572-x,Vu Minh NgoHuan Huu NguyenLong Hoang Nguyen,2025,https://link.springer.com/article/10.1007/s12063-025-00572-x,Article;;;
HGN-MAAERL: Hetergeneous graph neighborhood-based multi-agent asynchronous edge reinforcement learning for efficient multiple unmanned vehicles collaboration,Cluster Computing,,,,10.1007/s10586-025-05485-9,Feiyang HuangRuihan HuQiming CaoXiangdong He,2025,https://link.springer.com/article/10.1007/s10586-025-05485-9,Article;;;
A critical analysis of XR remote collaboration using sketch cues,Journal of King Saud University Computer and Information Sciences,,,,10.1007/s44443-025-00409-4,Peng WangShuxia WangMark BillinghurstHuan YangXiangyu ZhangRong LuoJie Zhao,2025,https://link.springer.com/article/10.1007/s44443-025-00409-4,Article;;;
Collaborative Learning Analytics,International Handbook of Computer-Supported Collaborative Learning,,,,10.1007/978-3-030-65291-3_23,Alyssa Friend WiseSimon KnightSimon Buckingham Shum,2021,https://link.springer.com/chapter/10.1007/978-3-030-65291-3_23,Chapter;;;
